group,subject,task,task_number,frequency,tap,DT,period,relphase
French,FR01,sync,2,1.3,3,66.6666666666667,0.678000000000001,-0.864223876104515
French,FR01,sync,2,1.3,4,66.6666666666667,0.763999999999999,-0.913680543240852
French,FR01,sync,2,1.3,5,66.6666666666667,0.762,-0.970918853398718
French,FR01,sync,2,1.3,6,66.6666666666667,0.795999999999999,-0.754374119521052
French,FR01,sync,2,1.3,7,66.6666666666667,0.760000000000002,-0.832750651419309
French,FR01,sync,2,1.3,8,66.6666666666667,0.821999999999999,-0.401888607791509
French,FR01,sync,2,1.3,9,66.6666666666667,0.744,-0.613630565064803
French,FR01,sync,2,1.3,10,66.6666666666667,0.814,-0.245181528636048
French,FR01,sync,2,1.3,11,66.6666666666667,0.814,0.115992240460173
French,FR01,sync,2,1.3,12,66.6666666666667,0.731999999999999,-0.187874755674922
French,FR01,sync,2,1.3,13,66.6666666666667,0.771999999999998,-0.17294667425631
French,FR01,sync,2,1.3,14,66.6666666666667,0.744,-0.375945010575256
French,FR01,sync,2,1.3,15,66.6666666666667,0.731999999999999,-0.685438397146887
French,FR01,sync,2,1.6,1,100,NaN,0.651649180386084
French,FR01,sync,2,1.6,2,100,0.552,-0.0804505160970765
French,FR01,sync,2,1.6,3,100,0.603999999999999,-0.293456511467791
French,FR01,sync,2,1.6,4,100,0.694000000000003,0.384520472179238
French,FR01,sync,2,1.6,5,100,0.661999999999999,0.764035333353043
French,FR01,sync,2,1.6,6,100,0.643999999999998,0.954738650323183
French,FR01,sync,2,1.6,7,100,0.584000000000003,0.54016517981188
French,FR01,sync,2,1.6,8,100,0.619999999999997,0.482548631591339
French,FR01,sync,2,1.6,9,100,0.584000000000003,0.07037167544039
French,FR01,sync,2,1.6,10,100,0.634,0.160798088475468
French,FR01,sync,2,1.6,11,100,0.646000000000001,0.368186654943003
French,FR01,sync,2,1.6,12,100,0.628,0.371380050279805
French,FR01,sync,2,1.6,13,100,0.594000000000001,0.0824090203437082
French,FR01,sync,2,1.6,14,100,0.609999999999999,-0.0703491637080038
French,FR01,sync,2,1.6,15,100,0.619999999999997,-0.122608542462558
French,FR01,sync,2,1.9,1,100,NaN,0.842691646441622
French,FR01,sync,2,1.9,2,100,0.475999999999999,0.241201716467124
French,FR01,sync,2,1.9,3,100,0.506,0
French,FR01,sync,2,1.9,4,100,0.526000000000003,-0.0261700258912589
French,FR01,sync,2,1.9,5,100,0.521999999999998,-0.0669696188051252
